Date,No of Trans,Max,Min,Close,Volume
2015-01-01,20.0,485.0,470.0,479.0,2695.0
2015-01-04,17.0,481.0,474.0,478.0,1201.0
2015-01-05,17.0,487.0,471.0,487.0,1739.0
2015-01-06,32.0,480.0,466.0,475.0,3920.0
2015-01-07,37.0,476.0,467.0,476.0,3541.0
2015-01-08,27.0,480.0,472.0,473.0,2511.0
2015-01-11,22.0,484.0,465.0,484.0,3451.0
2015-01-12,34.0,479.0,468.0,473.0,3521.0
2015-01-13,15.0,475.0,466.0,475.0,1012.0
2015-01-14,64.0,489.0,467.0,484.0,11042.0
2015-01-18,46.0,485.0,473.0,475.0,5160.0
2015-01-19,57.0,499.0,480.0,487.0,7796.0
2015-01-20,36.0,489.0,474.0,478.0,10113.0
2015-01-22,14.0,477.0,470.0,473.0,1265.0
2015-01-25,35.0,483.0,466.0,475.0,2889.0
2015-01-26,37.0,484.0,470.0,481.0,5767.0
2015-01-27,96.0,510.0,478.0,503.0,13660.0
2015-01-28,60.0,513.0,498.0,509.0,15503.0
2015-01-29,67.0,512.0,495.0,500.0,10005.0
2015-02-01,25.0,496.0,491.0,493.0,4653.0
2015-02-02,24.0,494.0,485.0,487.0,3667.0
2015-02-03,37.0,490.0,472.0,483.0,2126.0
2015-02-04,19.0,485.0,475.0,480.0,1946.0
2015-02-05,24.0,489.0,471.0,473.0,2868.0
2015-02-08,30.0,476.0,471.0,475.0,2025.0
2015-02-09,28.0,484.0,470.0,479.0,6337.0
2015-02-10,32.0,475.0,463.0,475.0,3543.0
2015-02-11,22.0,480.0,470.0,476.0,3776.0
2015-02-12,29.0,485.0,475.0,482.0,5980.0
2015-02-15,20.0,482.0,476.0,477.0,1086.0
2015-02-16,39.0,479.0,472.0,479.0,4307.0
2015-02-18,26.0,479.0,472.0,474.0,2807.0
2015-02-22,22.0,472.0,464.0,464.0,3088.0
2015-02-23,18.0,465.0,456.0,464.0,3374.0
2015-02-24,21.0,465.0,460.0,465.0,3018.0
2015-02-25,29.0,471.0,459.0,470.0,2152.0
2015-02-26,14.0,475.0,460.0,475.0,2405.0
2015-03-01,19.0,480.0,470.0,480.0,1184.0
2015-03-02,12.0,495.0,475.0,480.0,1111.0
2015-03-03,23.0,484.0,471.0,483.0,1590.0
2015-03-04,17.0,492.0,476.0,478.0,2209.0
2015-03-09,50.0,504.0,485.0,497.0,8858.0
2015-03-10,13.0,490.0,472.0,481.0,1061.0
2015-03-11,24.0,485.0,477.0,477.0,1618.0
2015-03-12,23.0,490.0,470.0,475.0,1710.0
2015-03-15,17.0,480.0,471.0,475.0,2644.0
2015-03-16,17.0,475.0,467.0,471.0,1607.0
2015-03-17,10.0,473.0,467.0,471.0,731.0
